Entity,Code,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Africa,,28.976013,5.683838,34.439148,12.656067,53.99176,64.93353,44.571045,78.62787,39.78241,63.15918,93.51245,60.46289,52.26758,119.66199,120.6814,200.4419,124.98486,75.93701,55.479126,68.54785,34.119873,86.552246,141.10083,-3.8552246,87.70825,-14.623535,46.52295,13.808594,83.72583,102.33594,62.894775,52.37671,34.116455,84.706055,56.348877,102.28735,40.966797,169.17651,235.3706,13.032715,69.48291,135.18774,234.29419,62.10083,108.947754,30.21045,170.09033,109.260254,108.11182,114.083984,124.16553,99.19238,97.75098,78.430176,-338.15674,291.17188,
Algeria,DZA,5.132944,-1.747757,1.6451645,3.7915154,2.5721283,3.713192,4.427101,7.842884,6.412285,11.96048,11.552055,8.465332,23.205048,35.057495,28.703278,37.720917,32.591797,23.57605,-11.41214,1.5267334,16.36493,6.941284,21.18811,-8.480682,18.17453,-3.3458557,8.4097595,-22.687286,4.4790955,11.14389,-3.0486145,-11.887512,10.075226,3.120697,-11.047974,10.82428,11.17392,14.369415,12.90094,15.626953,13.919434,20.39981,23.760956,25.142548,-9.414764,24.906067,43.136475,30.097046,48.296143,31.995117,-0.8240967,6.157593,47.17633,23.406494,-40.37262,30.33081,https://public.flourish.studio/country-flags/svg/dz.svg
Argentina,ARG,10.599274,9.768097,11.137665,12.524292,-20.236542,21.278992,4.7805176,12.69455,6.90448,-14.042236,20.046783,19.177856,-8.771362,24.483307,-14.990143,-13.939148,2.5070496,12.765472,-6.4086,-11.359467,26.253723,18.261658,30.413116,-10.963074,-28.23642,12.423096,30.148438,3.1184082,19.142395,25.043762,39.325623,-9.782227,29.253662,23.327026,-16.16858,-41.57556,-22.024902,47.529175,52.99109,38.312256,27.170898,57.447266,11.227051,-35.420776,31.46997,30.518127,38.54535,27.432068,-1.6426392,12.291382,-0.06549072,-3.1602173,-12.481506,-55.505554,-51.730835,71.49573,https://public.flourish.studio/country-flags/svg/ar.svg
Australia,AUS,21.399109,26.201355,27.606934,18.56839,43.3414,24.746887,27.097473,40.909668,37.558716,8.80957,27.374268,38.859314,21.983398,31.298523,5.3657837,12.304199,-4.991089,-26.79663,28.485107,22.69336,17.07013,27.463135,39.30481,48.61969,19.641174,-10.2855835,16.169128,20.559387,41.98535,49.940308,32.44043,29.020874,29.185547,49.33081,7.8568115,11.275391,24.52539,17.229004,41.528687,1.7612305,59.05725,37.699585,29.08606,-24.990479,-6.6011963,23.294556,-21.56189,5.5201416,18.507935,29.421753,-8.453613,1.7553711,-5.574951,43.13452,-108.16016,-38.25879,https://public.flourish.studio/country-flags/svg/au.svg
Austria,AUT,5.1364594,0.9532013,12.438034,12.022827,18.70427,12.151474,7.3592224,14.002228,-8.906311,-5.100998,19.380005,-12.174286,12.5329895,8.695084,-4.339081,-14.49115,-10.343384,0.031066895,8.082062,3.7177887,-0.85046387,5.543503,-5.088684,2.3131866,14.565079,16.26596,-15.949951,0.5434418,1.3073273,10.91568,9.749695,1.7178345,2.388855,-1.065155,-1.715332,18.015167,2.4361877,24.228973,-4.716858,3.944397,-5.9017944,-16.213074,3.9856873,-21.052643,20.147064,-14.794342,-7.180603,0.9178772,-16.087357,6.914871,5.798126,10.659515,-6.688629,8.87793,-28.568726,10.335327,https://public.flourish.studio/country-flags/svg/at.svg
Belgium,BEL,-15.179108,19.726593,47.838013,45.509888,28.669617,-9.763794,33.231262,7.0650024,-19.926147,-51.344788,22.634338,-5.323303,22.44458,19.538818,-28.539246,-28.9646,-30.452393,-39.79727,12.136749,3.5284424,3.3791199,9.309357,8.383545,9.842712,22.336548,21.184937,-3.2907715,-5.65744,36.14743,5.9157715,36.461426,-4.244629,17.12622,-13.639343,15.057129,-0.59484863,-5.581726,28.8255,3.0253906,-10.3689575,2.9215698,0.09765625,17.365845,-58.540283,40.946045,-55.873108,-13.9331665,10.378052,-27.960571,24.582642,6.8584595,7.528015,26.373291,-19.967407,-61.66504,41.658386,https://public.flourish.studio/country-flags/svg/be.svg
Brazil,BRA,17.840347,7.005142,39.88246,25.992096,38.231934,31.030731,51.362885,87.08975,40.15689,22.453125,45.439575,24.630798,59.7901,37.437805,-15.302734,-31.57306,16.010193,-17.540955,28.747498,31.89331,67.95941,28.117798,14.821594,5.131958,-25.3844,25.328735,54.939636,40.204956,59.93097,47.72809,65.07703,75.07898,42.172607,29.809937,13.690308,40.58716,-1.78479,-8.803467,69.70813,23.998901,28.9021,57.87268,88.98193,-90.09949,215.80957,87.72827,95.8667,145.7041,84.109375,-114.84473,-146.94885,30.097046,-87.64844,-5.8361816,-148.02441,191.26562,https://public.flourish.studio/country-flags/svg/bz.svg
Bulgaria,BGR,8.610214,20.739723,19.717133,17.551056,22.36525,8.585281,6.543045,7.350769,5.7726746,19.56546,7.300247,10.882874,12.255127,9.676788,16.592072,-13.058716,5.1543274,-3.054657,-2.8871155,-0.6687622,9.503174,0.99783325,-2.298645,0.7926941,-24.728088,-59.622787,-10.290268,9.428986,-12.217392,11.269455,-5.2023926,-12.665695,-8.981308,-27.002563,-4.015991,6.5220795,-8.113037,14.339111,-5.98407,10.07692,2.9191895,9.554871,-6.66716,-29.375809,3.0040588,15.814072,-14.163254,-15.822693,8.056351,10.80249,-8.294388,8.138824,-9.64064,-3.842575,-16.04596,18.909714,https://public.flourish.studio/country-flags/svg/bg.svg
Canada,CAN,51.449463,58.90808,90.39783,58.168457,99.59949,36.63098,82.0636,116.96423,25.088867,-4.190796,61.826538,90.01709,-9.988892,37.543335,23.01892,-67.56824,-52.69629,-67.42029,95.19263,17.821411,-24.112305,57.78076,128.70898,87.67847,-116.35474,-55.83618,68.08008,18.711304,62.384888,86.043945,44.480225,61.49707,29.833252,61.9458,63.421143,-6.569092,78.98047,66.4043,13.579834,-39.04004,-5.11792,114.76074,-73.55835,-113.87842,79.56885,63.68872,-6.63208,48.05371,31.07666,9.432129,-72.52637,46.520508,61.94629,-5.2128906,-226.92236,62.088135,https://public.flourish.studio/country-flags/svg/ca.svg
Chile,CHL,4.6226845,1.2690735,1.7241592,4.793274,3.923355,5.6827087,0.61483765,-3.4435349,-3.166771,-9.5433655,3.758049,2.2939224,4.6759415,2.748825,2.1252213,1.9647369,-11.3958435,0.5672226,3.7277222,-1.530838,2.49469,2.815796,14.377258,19.268074,10.466507,6.6578674,6.30484,9.600784,10.823822,12.234055,18.614075,29.077759,11.163361,17.696121,1.5337677,-5.6126404,6.818039,0.42848206,20.108856,1.7097168,17.894196,20.778198,-10.44693,-9.29126,10.289825,33.448578,5.7362366,2.4280396,-14.1076355,2.667633,24.050934,-8.679382,6.0506287,11.441864,-35.127655,9.152344,https://public.flourish.studio/country-flags/svg/cl.svg
China,CHN,131.96375,-159.06567,5.3166504,327.34033,514.2125,423.52783,207.25195,156.5957,85.532715,387.95605,192.66016,344.58838,415.479,124.0332,27.12793,-85.24609,186.70117,285.33496,386.27002,448.74805,287.34473,489.9414,489.83496,341.9995,76.96973,405.41748,417.85986,616.55176,506.17578,231.99902,564.5039,45.66211,12.02832,389.4375,332.3506,510.20215,1061.7295,2202.377,2473.3252,2380.4512,1899.6445,1835.2715,495.08008,1144.2188,1554.7852,2240.6602,698.5586,942.10156,413.6543,96.677734,157.83984,781.74023,915.13086,804.28125,539.89453,1989.7031,https://public.flourish.studio/country-flags/svg/cn.svg
Colombia,COL,6.8185043,4.955101,4.0837555,0.3417511,8.273659,-3.081993,12.581238,-1.9357147,13.000229,-0.090164185,4.8899994,2.9715576,6.66716,7.389267,-0.20701599,4.960785,5.937973,9.78833,0.5819702,4.857666,-0.7518921,14.788986,-3.3716278,6.8056946,-19.08435,8.907166,26.705643,11.439056,9.911819,5.0167847,-0.95970154,20.919327,3.1261597,-33.532715,-0.15628052,-6.6398315,-6.947418,5.1163635,0.31384277,-1.1269226,28.216263,-3.0266113,24.067642,4.7425537,18.808655,-8.914368,31.444824,12.417053,20.880219,5.4739685,18.90924,-22.200775,11.041046,22.233765,-42.43701,24.539307,https://public.flourish.studio/country-flags/svg/co.svg
Czechia,CZE,3.885376,-6.7302246,21.219666,21.437958,19.822632,28.314941,2.9786377,3.8603516,3.824585,23.142944,17.517212,18.379211,9.159241,5.3377075,-20.587097,-3.611023,-6.064514,0.4498291,18.432068,-3.1810913,-4.2089844,0.043640137,0.77697754,-20.473328,-88.30463,-47.60666,-15.939911,-5.559021,-14.225952,19.84497,15.33606,-19.5578,-15.424591,-21.02356,24.928406,7.0914307,-10.810303,11.603943,10.288727,-4.1015625,5.353424,-5.4059143,-12.6828,-25.821106,15.214722,-16.64215,-9.639618,-13.491608,-9.019562,-0.17819214,1.1472778,9.947418,-4.357788,-8.685577,-35.70865,21.902039,https://public.flourish.studio/country-flags/svg/cz.svg
Denmark,DNK,22.848175,1.0670319,8.555222,29.37677,14.936905,-13.354248,12.707108,-7.872711,-21.15567,-3.0655518,21.209625,4.7253876,3.4174957,-0.49475098,-6.2061157,-23.717682,-9.261261,-10.021011,3.1708221,24.46109,4.563751,-8.179581,-2.7538147,-17.013504,5.3253937,30.05368,-15.771988,12.155472,16.926636,-4.783066,45.56299,-29.440643,-12.276978,-9.040176,-13.052383,-0.08024597,-3.2311249,14.655029,-17.772278,-9.105179,25.335129,-16.161453,-8.419754,-13.6866455,4.6599274,-18.47322,-18.71579,6.2167053,-12.076019,-9.253113,3.2218018,-8.403198,0.2521515,-9.980881,-22.385666,3.8507614,https://public.flourish.studio/country-flags/svg/dk.svg
Ecuador,ECU,0.34911203,0.661396,1.7409964,0.62090874,2.2823935,1.3548346,0.7130823,1.2223063,2.8436184,-0.1079731,2.2344456,4.607666,0.6015568,1.4565525,7.738098,4.5119286,3.914322,-3.4160767,0.7609863,9.261524,0.77007675,0.30957413,9.448849,1.9977989,2.4378967,8.192741,-0.15668488,0.7783432,5.8583755,-1.3507614,9.597557,11.743668,0.7058487,-12.59639,-7.3867188,3.0883865,-2.563568,3.6360092,6.9043274,8.000923,6.2461166,1.0617294,2.8811417,2.4635086,17.090683,2.5800934,6.382065,8.890152,7.648361,-4.912033,-8.02832,-3.7913818,10.09845,-5.391144,-27.630615,26.514282,https://public.flourish.studio/country-flags/svg/ec.svg
Egypt,EGY,4.5133057,-14.29612,3.4748306,-18.669666,15.991695,1.5002365,9.959854,-5.691139,10.615738,10.25148,20.755157,9.589455,6.4425964,16.68187,25.005524,28.217804,27.079971,23.813248,26.848755,13.161987,7.987549,20.321045,5.6621094,17.645172,8.477753,5.218628,-3.463623,-0.578125,18.435547,23.221008,22.592804,18.374847,18.8208,32.59546,29.260742,24.070923,18.331482,38.861572,35.987976,18.125488,36.794678,43.958435,44.299255,33.505554,34.86841,42.271423,37.002808,-6.7456665,-11.788086,13.74115,53.555115,41.44098,-1.059021,-30.068481,-74.4021,69.11603,https://public.flourish.studio/country-flags/svg/eg.svg
European Union (27),,261.7744,359.49707,700.8174,894.7578,801.82715,389.18848,634.63184,763.9883,-219.4834,-171.66309,954.13086,-60.251953,586.208,490.49316,-328.20898,-684.47363,-425.14844,-104.73633,158.57422,504.34668,130.52539,199.30176,-45.50586,118.74219,-156.2334,-178.22754,-376.7002,-224.44238,-91.543945,347.67676,417.33008,-136.80469,147.59863,-131.66016,28.975586,220.36523,-7.65625,346.61914,91.73535,47.64746,79.68262,-198.59668,-238.06836,-1024.8691,371.2793,-460.97852,-354.51367,-293.74707,-695.7158,248.34473,222.76465,187.90723,-115.41016,-363.1084,-1304.5078,675.52734,
Finland,FIN,12.923904,3.1952896,15.150833,20.04493,14.485184,1.4528961,11.019363,19.47647,-15.117569,4.772537,20.853088,-2.5786438,14.325562,6.9561615,-0.042556763,-29.131927,-7.611023,-6.642929,8.727463,15.560577,3.0674438,9.514557,-0.4499817,3.592926,8.863068,0.25946045,-5.8681183,2.5391846,21.333359,-19.563263,19.457565,-6.6603546,-3.7848969,-0.54151917,-3.1613464,13.121902,8.689896,27.617584,-20.309479,-30.005829,30.007294,-7.071472,-22.524551,-10.98761,24.692596,-22.56746,-20.32193,7.7457733,-15.6214905,-10.754669,9.42308,-9.584,4.3297424,-9.330078,-20.394135,0.28163147,https://public.flourish.studio/country-flags/svg/fi.svg
France,FRA,13.249756,103.43823,60.57727,144.37207,124.91016,84.37793,114.04822,174.64648,-64.15039,-144.76636,171.18079,-59.83911,85.08765,45.5,-98.022095,-155.34827,-89.84241,-42.293457,-46.45056,-6.869995,-27.149048,-10.637451,-12.712158,39.931885,29.532104,106.685425,-30.236206,-71.64343,-54.33374,33.44397,69.71118,-30.200806,94.24719,3.9005127,-3.1224365,5.73291,-27.906128,32.635498,11.996826,0.42260742,-31.35791,-35.995117,-13.519287,-74.03955,22.297974,-106.78772,-2.874878,0.7418213,-136.06873,27.8396,29.34143,15.017456,-33.080566,-19.62854,-179.74866,98.3125,https://public.flourish.studio/country-flags/svg/fr.svg
Germany,DEU,3.3796387,-7.6865234,198.71655,249.78735,172.58716,45.13037,117.96582,203.70605,-83.19971,-179.36646,246.03857,-53.921387,135.0249,207.02441,-157.37451,-162.19849,-169.43677,49.559814,74.343994,29.128662,-15.833252,-0.1418457,-28.096436,-54.32129,-37.97119,-83.464355,-122.6228,-5.0197754,-36.40869,6.0908203,115.747314,-81.41089,-14.899414,-88.99951,-1.1035156,68.60498,-52.32495,-2.9997559,-38.246094,-58.555176,52.361816,-146.50977,11.776367,-207.45166,116.09668,-101.85962,19.894775,94.840576,-184.24146,17.971191,80.9668,3.2563477,-113.47754,-140.09521,-266.6814,110.11499,https://public.flourish.studio/country-flags/svg/de.svg
Greece,GRC,4.756836,8.9546585,4.604027,3.5520935,9.922806,22.222717,16.809845,24.759613,-4.362274,24.333374,21.18634,7.9891205,0.8403473,-29.855255,-1.4526672,-4.5960083,2.2101135,4.7260895,7.2953186,11.941437,-0.8019409,22.042664,14.744476,22.847122,10.627136,0.23706055,7.764618,3.5635376,4.2047424,8.409515,5.5761414,10.627014,21.116547,-2.930664,20.154205,6.59317,-1.4960632,15.302399,-0.057006836,0.08111572,7.6683044,16.434448,-15.257141,-21.219116,-25.328125,-1.1030884,-27.158722,-31.928802,-13.436005,-3.5401917,-5.766449,-36.192688,49.559265,-7.7577515,-38.015198,5.3678894,https://public.flourish.studio/country-flags/svg/gr.svg
Hong Kong,HKG,2.2238102,5.1669807,2.7352867,6.371849,3.181736,2.5779839,6.594429,2.047989,1.3554459,-3.4304276,9.963879,5.192833,2.7330475,1.7461014,1.6328735,5.013359,7.9411163,5.392685,2.319786,3.7054672,4.82267,10.428589,17.629578,9.210373,-3.501709,5.031662,25.53952,15.5733795,-17.409409,12.587723,-0.08961487,2.1020966,3.5406647,2.3879852,8.853577,51.9449,-5.9877014,7.9729004,30.12149,-11.436462,15.660065,18.261505,-21.16101,26.004272,12.1475525,7.8746643,-12.583282,8.481049,-7.769623,9.212311,8.553436,24.312958,4.1426697,-19.013702,-86.68921,-14.922607,https://public.flourish.studio/country-flags/svg/hk.svg
Hungary,HUN,2.4135132,-8.517197,6.6927643,13.138809,15.397934,6.93367,7.1396027,18.942673,7.6265106,14.715027,18.42987,14.872253,21.090546,-3.1896362,1.067627,-3.4233398,1.4393005,-12.518982,4.791382,2.7398071,-4.2324524,4.6777344,-14.974884,-9.984131,-6.4096375,-21.431976,-12.899536,-7.8229675,1.6092834,3.2400818,4.877899,-6.5084534,4.514145,-1.2856598,-8.664459,7.171875,-2.302185,8.606598,0.32855225,11.793579,-2.246399,-8.485901,-7.371765,-26.44931,4.076721,-6.737152,-17.798615,-11.969818,-1.951294,12.4687805,3.9942322,13.615509,2.000061,-0.12837219,-6.681656,8.3459015,https://public.flourish.studio/country-flags/svg/hu.svg
India,IND,16.453308,12.975952,35.34558,65.96527,-23.486267,22.88208,44.51129,8.322937,54.957886,47.92682,40.578003,49.974976,9.260559,67.680786,31.588013,119.86719,14.915649,71.763794,76.45972,87.5426,107.63867,117.07373,140.58948,161.05518,141.39233,107.07593,133.70361,61.549072,115.78369,209.6206,134.81763,161.1836,152.85059,97.89136,185.5437,20.222656,123.715576,138.43042,236.03882,273.07593,190.3335,373.42822,324.08203,444.18945,225.67383,271.29492,420.23096,185.83545,464.1787,217.50684,339.78174,257.83984,476.56494,103.49512,-572.5215,855.209,https://public.flourish.studio/country-flags/svg/in.svg
Indonesia,IDN,-2.2403793,-1.8613281,3.672371,10.916481,4.974304,3.2444458,6.59626,12.85273,8.234016,29.07167,10.2512665,52.04013,29.259735,34.190002,21.539856,22.05545,6.0842285,17.660583,35.084442,22.058868,23.048828,24.090698,24.574951,49.780945,51.48163,50.26422,57.211914,49.195435,37.036743,67.99292,60.921753,87.20386,-32.010254,89.51233,75.02307,74.93323,37.833008,111.031494,-15.77063,36.98047,33.001465,98.66968,10.45166,46.781616,137.9524,128.88159,63.747314,-83.172,19.991821,50.099487,-14.611572,87.545166,163.57153,130.19092,-210.42871,40.718506,https://public.flourish.studio/country-flags/svg/id.svg
Iran,IRN,8.367455,10.196304,11.15477,12.021339,24.763214,15.290512,21.86708,41.83464,32.107986,45.697693,39.61789,48.091614,-15.906616,34.740906,-32.501434,-0.034484863,51.52298,86.55829,45.26532,53.635742,-44.071472,41.221375,11.548035,65.87286,88.38855,74.191345,82.55884,-76.60547,118.751526,44.97943,91.487305,43.746094,44.798218,102.89221,69.02258,94.65344,122.96057,25.414429,169.12976,101.288574,168.52173,135.56348,98.40137,65.19751,27.815186,107.74072,19.00293,82.99365,121.818115,-10.938232,115.48462,114.4563,116.99121,91.90674,104.53174,75.40332,https://public.flourish.studio/country-flags/svg/ir.svg
Ireland,IRL,8.418434,6.5006638,13.7659,0.8675537,-20.999222,3.927063,3.7398376,4.380226,1.0839767,-4.964203,1.5255737,5.139076,3.7859116,9.296326,-3.396309,-2.502205,-0.53144073,-1.3414764,-0.74518585,4.233734,7.724182,1.9042511,-1.0704956,3.7893677,5.5615845,4.0583344,0.6227951,2.775505,4.4778824,3.134575,7.4993896,5.97435,10.009628,9.20639,6.474472,10.820633,-2.2053375,-4.0106506,1.6559753,6.589737,2.2876434,4.512436,-3.3441467,-18.573212,0.6483307,-12.450333,-2.4804382,-4.6720886,-2.7465973,6.425995,8.237961,-3.2630615,0.70381165,-4.385483,-16.010239,4.9315186,https://public.flourish.studio/country-flags/svg/ie.svg
Israel,ISR,1.6365967,9.093227,0.9302101,6.85841,4.0174522,8.565643,-3.8002777,4.5065536,0.30864716,2.0165482,1.8950348,3.8564453,7.433258,2.9232101,1.322319,1.5738068,7.5910187,0.06791687,4.130989,-7.688957,5.0872345,7.470009,7.9555435,5.505783,4.859192,2.1329956,21.850601,13.178665,7.2113037,21.633774,7.0906982,18.91333,11.580078,8.454361,-13.89473,-0.12573242,4.418106,7.019455,4.761627,1.1403961,-0.5947418,11.259216,7.4012146,-7.6436768,9.9823,4.585785,11.967712,-15.3333435,-7.5822144,13.420044,4.149475,5.598938,4.163971,6.8791504,-19.161407,2.891693,https://public.flourish.studio/country-flags/svg/il.svg
Italy,ITA,73.49463,89.364075,88.224365,96.464966,128.8457,77.460815,65.73071,80.166626,-3.3237305,-43.80542,93.56091,-28.47351,54.64612,57.357666,-42.471558,-29.483032,-40.648438,-31.406494,19.043335,-2.4345703,38.83911,78.51306,39.423462,70.81433,37.342285,26.777588,-8.44165,-38.645874,-13.175659,95.601074,-14.684692,33.50537,44.478638,42.440063,29.161743,-11.12207,4.188965,71.37341,25.34314,19.844727,-16.019531,-32.554688,-71.293945,-175.83704,40.927124,-54.606445,-80.798584,-137.22485,-116.84546,82.55127,10.986816,33.40625,-16.350586,-30.54358,-173.49646,120.184326,https://public.flourish.studio/country-flags/svg/it.svg
Japan,JPN,179.01648,322.9779,249,351.69385,333.49146,176.573,158.83032,453.07202,-56.19287,-199.35742,116.04736,65.98364,98.54541,103.153564,-185.50708,-72.69629,-212.21973,9.406738,324.96948,-72.20532,-7.6845703,38.980225,282.5774,125.895996,191.10547,54.308105,73.85889,-41.97754,252.36963,163.9126,89.916016,15.856445,-144.63525,138.58545,59.405273,-47.49463,32.90869,179.89404,-78.049805,34.95996,-71.76465,44.213867,-29.370605,-573.67334,263.542,50.259277,348.04395,-55.750977,-136.70508,-143.10938,-92.231445,-5.695801,-112.211426,-165.58984,-363.84766,91.70166,https://public.flourish.studio/country-flags/svg/jp.svg
Kuwait,KWT,3.6598816,1.4769897,4.4182205,2.1601639,-17.52929,-0.25074005,7.8014984,-0.29413605,-3.2630768,-8.394234,13.291626,1.840805,8.273788,20.31417,-28.003159,23.984695,-1.7862778,11.110992,7.7487106,-5.227104,17.493317,-10.532196,16.477448,11.05661,-63.557594,-45.37197,35.554565,18.497635,16.761597,33.615265,-1.5296631,6.0311584,35.93245,7.2814026,13.67804,2.3621826,12.524231,44.26114,31.748016,31.254364,-12.962463,-9.170319,25.509918,11.913025,43.581177,10.601501,16.74826,9.246368,7.0520325,17.080658,-5.186371,8.54599,8.69696,13.593201,-31.137085,34.657684,https://public.flourish.studio/country-flags/svg/kw.svg
