Entity,Code,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Luxembourg,LUX,-1.7212563,-0.63534164,3.2118454,3.2855034,1.737011,-1.7258606,1.4043503,2.8609924,0.7065506,-8.587658,0.13756561,-2.9742088,1.6004562,1.1233482,-3.3135262,-5.6657677,-2.0717373,-2.0289211,2.237461,0.89546585,-0.76953125,-1.7900314,0.76127434,4.622629,2.0551949,2.731388,0.16253662,0.52549744,-1.615921,-5.095688,1.0603905,-0.82227707,-1.2895966,1.9342308,2.1994553,2.6731033,3.765728,2.151413,5.9193573,0.7352257,-1.0306091,-2.0652237,-0.40878677,-2.0935402,2.5216942,-1.2887077,-1.0530472,-2.50206,-1.6747398,-1.4745331,-0.717762,1.2328377,1.730484,0.42909622,-7.4527016,1.3300819,https://public.flourish.studio/country-flags/svg/lu.svg
Malaysia,MYS,4.8756065,2.7319984,1.1670456,3.5109062,-2.9274826,5.640484,5.310566,3.0908966,1.1029282,1.8487473,7.2443123,12.029434,25.620079,15.210823,4.638893,3.8285751,9.442955,20.072067,7.4762726,-2.5251617,15.733582,3.3710327,7.8170166,25.674118,15.742294,59.63086,39.171204,0.2836609,16.402649,34.99762,49.379456,74.167786,-20.850006,24.83548,81.69403,17.458496,35.79077,56.012024,55.662903,62.28369,8.724609,56.73877,26.347717,-28.288696,31.348877,10.593567,85.1012,41.583862,6.555664,14.491455,42.22876,-2.2437744,19.593262,28.52063,-105.46912,10.115967,https://public.flourish.studio/country-flags/svg/my.svg
Mexico,MEX,13.5469055,3.3079834,23.410095,31.403534,20.876312,22.077667,41.91452,33.949585,49.357727,42.257996,31.996521,29.055481,92.58777,73.04053,77.824646,72.826294,46.299866,-5.350891,39.49176,38.688843,-17.61316,39.26953,0.4124756,52.786987,56.88086,48.802734,10.578613,4.0756836,97.95447,-55.076904,35.977173,32.304565,73.0116,-5.0460205,75.733154,-7.343872,59.631714,23.7948,79.112305,100.4104,54.38611,17.810425,12.77002,16.024902,41.821655,88.94397,24.208252,9.28894,-39.112183,7.09375,26.92334,23.675049,-28.031738,-78.0166,-340.37,68.850464,https://public.flourish.studio/country-flags/svg/mx.svg
Morocco,MAR,6.094363,1.6153393,1.4399757,1.6400414,1.4311275,1.418539,2.3853111,5.060814,2.2456856,1.6286736,3.582367,4.466034,2.9959183,5.7747116,0.37081146,-0.37337112,3.1357841,1.8907471,1.1728363,1.7440033,1.7681274,1.491745,3.5935516,6.7067337,1.7224045,1.030304,10.750252,2.5271606,8.514603,-1.3254318,0.68161774,3.8676453,3.762741,7.095375,-0.90148926,8.616585,3.2698288,-1.3862,17.715126,14.367844,3.307663,-1.4977875,16.834473,-9.228027,15.9478,13.695648,4.475281,1.1449432,4.3201294,1.7757874,1.8524323,10.6154785,3.261383,19.347351,-21.807343,23.357208,https://public.flourish.studio/country-flags/svg/ma.svg
Netherlands,NLD,29.417328,25.422607,55.51358,59.579346,74.860596,35.86902,112.590576,49.324585,-49.878906,4.1601562,72.83386,-15.633423,15.7751465,31.647217,-58.432983,-43.752014,-60.74469,4.633484,29.6391,23.583374,39.532104,19.194092,2.1295166,2.7797241,24.238586,17.413208,9.486572,7.0773926,-10.663818,37.558228,40.457275,-13.905884,2.1572876,-12.80658,11.361084,37.64734,-1.3344116,6.9519653,32.16858,16.334839,-23.266968,14.475342,-18.088135,-20.38208,64.40723,-52.972412,-35.474304,-27.523254,-58.900757,8.248413,15.99939,-20.912476,-5.393799,-14.680176,-74.959595,7.3963623,https://public.flourish.studio/country-flags/svg/nl.svg
New Zealand,NZL,2.9739532,0.20175934,0.043979645,1.9161873,7.82679,-0.055656433,4.859993,5.273941,-0.61631775,-2.4680176,7.729141,4.8651505,-4.5671844,-5.9903717,-2.2434082,-0.53383636,8.294632,1.1673431,5.4579544,4.035988,4.8488846,2.0371475,4.856903,-18.356323,25.742996,4.0125885,5.802643,-1.969101,4.7510223,2.525467,7.464386,8.941498,-6.9132843,7.6128387,4.7996216,6.6457214,0.006744385,-3.1950836,-2.7535553,2.5714111,0.99884033,-1.9042664,2.802475,-8.558487,0.96694946,-0.8041687,7.173279,1.2392883,5.32016,-0.59628296,-0.6269989,7.808319,-3.9578094,7.566742,-21.110046,-6.0307465,https://public.flourish.studio/country-flags/svg/nz.svg
Norway,NOR,7.0642548,2.813385,8.069466,8.780014,11.042961,-1.6151886,5.353195,2.3759613,-8.0229645,2.67984,9.803909,0.8651657,14.799156,2.7269897,-4.2710724,-5.996666,-3.7034912,0.2868805,4.816963,5.6209564,7.610901,0.61187744,-2.784607,1.8658447,-3.4943848,-6.033798,4.885269,7.7397156,5.4018707,0.018844604,10.119278,6.6540985,1.9928436,-3.5192719,-3.5193024,9.959686,-2.5750885,6.8009644,1.1516418,-5.856735,1.098587,-1.563385,-0.21391296,-2.2204285,4.623932,-1.7951965,-3.1785736,3.2095795,-2.3023224,1.6030273,-5.1678314,2.019455,1.3437805,-2.8618164,-6.408905,-0.9057617,https://public.flourish.studio/country-flags/svg/no.svg
Oman,OMN,0.024480559,0.41912222,0.11092502,0.27660275,0.007394493,14.535597,2.2057133,-2.301302,-1.2480307,-1.2231855,1.9517002,-0.54422855,2.3302069,2.5308514,-2.114851,0.96961975,5.8539543,-1.5318642,10.143509,1.0774269,-2.111456,3.975668,-1.0461578,4.630783,9.844131,16.004257,-2.3773499,-2.652893,-2.9974556,9.059109,1.883873,1.9291077,1.9344864,10.834427,32.117813,11.886368,11.160278,4.93396,-9.899078,26.645523,14.739792,-0.6654663,30.574509,-1.5164795,38.230255,21.050781,23.430054,33.686005,-1.3722534,18.072205,0.6751404,24.959442,19.593872,-2.2563782,-8.472046,45.45221,https://public.flourish.studio/country-flags/svg/om.svg
Pakistan,PAK,0.6162567,7.6765823,10.856377,-0.008911133,-0.55638885,-9.49305,-7.7358856,4.973816,7.4770203,3.034027,0.70812225,6.67128,4.4002914,9.979919,13.91391,10.2165985,13.574509,7.5736847,9.967468,8.973297,14.373032,17.182327,14.148682,16.073822,13.458893,14.661255,11.038116,30.818207,13.756409,17.878906,21.235107,3.8858337,14.3871155,28.460632,16.28601,6.555176,13.388245,33.830383,57.43579,14.202576,36.73456,40.205505,17.913757,4.0249023,0.7290039,-5.8567505,5.6366577,2.9815674,20.61621,38.97461,63.911133,52.533936,26.566284,-4.6136475,-16.936462,82.6723,https://public.flourish.studio/country-flags/svg/pk.svg
Peru,PER,11.58334,0.25872803,0.6213875,-0.33561707,2.7331352,0.581974,-8.423569,9.275383,11.199043,2.0254135,0.65203094,-0.05899048,-0.88075256,2.60952,6.184952,2.6008377,-1.4205246,-12.14621,3.7013016,-2.8400497,5.4034805,6.014099,-1.583931,-9.726448,-1.0200348,-3.7714539,2.548149,3.2019882,7.111473,10.342598,3.4244766,1.4391632,-1.0971069,1.9177856,-0.4393692,-5.551338,2.3472443,-3.1906586,12.756981,5.690941,-3.614708,15.982597,15.426048,2.2044525,26.733047,19.797546,5.6657104,3.7884064,5.7991486,9.435242,18.78363,-4.6936035,10.558868,7.8129272,-50.374954,40.584915,https://public.flourish.studio/country-flags/svg/pe.svg
Philippines,PHL,4.4929504,6.8182526,8.475636,5.0610504,10.254379,13.654259,-1.8395996,16.814873,-7.3111725,8.640175,3.2593079,11.878181,3.8840637,4.0370636,-8.249527,-6.5110626,-4.2248154,7.9186172,-18.599869,-7.2286453,1.7863693,15.625748,11.322205,11.349991,7.472534,-2.7227936,30.459167,5.4499817,9.009064,25.135849,15.536041,21.294022,2.5997467,-6.8895874,-3.4810028,1.1294861,-0.8695526,9.599243,7.203125,0.5244446,-14.877701,16.540543,5.7408447,3.17276,16.572144,1.5549622,8.284302,27.618256,20.070404,35.509277,37.88788,43.759277,14.62561,19.621246,-50.581085,31.239502,https://public.flourish.studio/country-flags/svg/ph.svg
Poland,POL,15.08667,22.92212,61.915405,60.157776,49.09326,31.685608,55.70233,20.16272,34.184814,89.47998,66.36194,53.70923,66.97424,21.38623,65.74927,-146.59766,26.342407,5.628418,55.386475,31.04663,42.306274,49.10205,-29.803589,-56.8667,-258.47253,-26.27893,-52.09912,-0.33325195,-49.360107,25.033203,54.889404,-11.618652,-49.539062,-20.936035,-65.144714,-8.409241,-10.781494,35.83484,4.7178955,20.321167,50.77478,-6.621216,11.879272,-48.20459,65.81067,-0.3852539,-45.83777,3.2276611,-48.63257,5.05896,51.13025,40.783203,17.032959,-46.33362,-55.88562,92.06592,https://public.flourish.studio/country-flags/svg/pl.svg
Portugal,PRT,0.9025841,3.1966782,1.8149261,1.4712601,14.326389,6.823658,4.763191,8.712006,3.335144,3.359146,3.7214813,-1.3344803,3.8228073,6.298874,5.455139,6.5449066,4.639168,1.4236221,0.8709259,-0.29497528,15.058777,1.8114777,8.647079,33.364944,-6.975754,7.442856,14.926483,-5.5397034,1.2731628,27.940186,-11.340118,8.206848,23.346497,22.561523,-3.0160522,-3.8856506,15.524719,-14.993881,9.934677,11.302826,-23.976242,0.22901917,-5.795532,-8.605682,-13.194916,-1.815445,-11.59848,-1.2356415,0.6408539,12.489761,0.30560303,16.848694,-12.228256,-9.251801,-34.828613,-2.0391388,https://public.flourish.studio/country-flags/svg/pt.svg
Qatar,QAT,0.009614706,0.61467934,4.4041867,3.6790762,1.4070482,-0.04444027,1.2196875,5.32008,-2.308836,7.7331696,-8.385209,5.92307,-0.8547497,30.237606,3.0037422,-2.3105965,8.273804,2.5213394,8.555878,-4.3002167,5.9609528,-2.2178726,3.6866074,4.205818,1.0921402,11.975159,53.473633,10.006454,2.2337189,-0.5353241,-41.094,10.471077,9.6197815,15.279022,-16.068054,-5.2278748,13.057251,20.907532,33.93425,25.990921,11.411499,21.076996,27.731995,3.9311218,46.86737,56.481384,52.32367,37.818756,38.53177,72.79419,-12.875122,-18.354126,-0.58166504,24.756348,-70.42908,20.595581,https://public.flourish.studio/country-flags/svg/qa.svg
Romania,ROU,18.460266,33.159607,20.991943,50.895294,24.55487,21.462708,16.288849,41.944733,0.9244385,45.39862,48.539795,33.937134,47.061035,11.91864,3.1920776,1.4448242,-3.7023926,0.29986572,-9.013855,-6.195801,20.80597,25.85431,3.4708252,4.588623,-30.564453,-120.159424,-65.23694,-18.606873,-31.18985,39.167664,-4.560272,-44.687683,-48.267303,-55.588135,8.813812,4.7596436,13.108551,10.108795,5.256531,-9.233459,14.846863,-15.468994,-12.002869,-53.99228,-8.279602,20.067902,-10.574646,-39.878326,0.6418152,-0.78518677,-1.48703,13.280701,3.0722656,-5.308319,-18.794037,18.511963,https://public.flourish.studio/country-flags/svg/ro.svg
Saudi Arabia,SAU,3.1820526,3.443283,3.7531738,4.1447144,13.192673,0.41644287,18.897186,18.831299,18.353394,-66.092926,39.533447,52.96823,39.57321,81.50754,-46.92697,81.320435,50.61618,46.12915,117.31592,14.435791,54.92517,47.0791,38.5365,-13.729248,71.79175,44.115234,9.304016,21.093933,156.7301,-29.574463,38.546997,21.696167,62.32788,22.853394,59.44934,87.45264,59.050415,87.80823,133.25659,56.558594,71.70459,79.84766,184.95215,99.66382,231.53662,124.34326,154.11938,11.899414,208.45386,92.48584,80.84912,-22.043945,-37.647217,-42.29712,-48.75586,56.435303,https://public.flourish.studio/country-flags/svg/sa.svg
Singapore,SGP,6.8557167,11.012299,15.978508,-1.4160156,6.8868637,-11.5075,19.089699,-5.4609528,-1.2681046,-2.0725632,16.005928,0.38275146,2.9990082,6.9596634,-0.762146,16.788643,-3.466156,7.417923,6.7909546,2.7911224,22.591064,8.480637,27.192917,28.10794,44.56607,4.700592,20.272522,27.62445,46.871582,15.857361,3.536255,20.323517,5.708618,-4.183075,28.688232,59.345184,-8.856384,-27.310852,55.76892,26.532715,55.108704,44.47455,41.356506,52.05542,55.286377,31.62732,3.4378662,18.141296,24.572144,55.269104,35.010925,30.364075,5.4554443,-21.326416,-26.107117,4.296631,https://public.flourish.studio/country-flags/svg/sg.svg
Slovakia,SVK,4.0218124,1.4818649,11.965614,6.529022,11.656937,11.637375,7.630478,6.4626617,5.3368683,9.649445,6.078415,9.48233,10.520966,1.1112823,-4.2849274,-2.578949,-3.6210632,-0.5715637,14.386932,-0.37278748,-7.3894806,5.1798096,1.848114,0.9546356,1.2635345,-23.785004,-8.197235,-9.527496,-8.905472,4.63945,3.917511,-2.8996582,0.6884155,-3.7286987,-3.0453491,3.2392883,-0.78826904,-0.51615906,-4.8162384,8.38031,-9.017532,-6.426178,4.1259766,-12.595718,9.080521,-7.352005,-8.838959,2.0520782,-12.860977,2.997223,1.3825226,9.908279,-0.30267334,-9.482071,-4.7649994,15.114532,https://public.flourish.studio/country-flags/svg/sk.svg
South Africa,ZAF,2.2033997,14.755432,20.559021,11.615692,18.151306,32.29123,12.868011,35.128998,14.055054,34.34851,21.95874,13.957214,-5.643738,21.347229,41.215637,104.10742,58.672913,11.982605,65.03467,14.901062,4.293701,22.247253,79.00513,-47.105896,46.63849,-12.261108,8.012573,5.7804565,34.377686,45.26758,18.373657,20.745605,-22.026001,43.565308,-0.88427734,11.220581,-35.42041,98.954834,112.727295,-68.104126,25.94873,32.147095,97.81287,-5.978882,9.035889,-21.757446,-16.695679,2.7229004,11.105713,-31.600952,52.681885,-14.232422,-48.53418,59.559692,-118.895386,12.298828,https://public.flourish.studio/country-flags/svg/za.svg
South Korea,KOR,15.138412,13.611259,15.305168,23.336273,23.748795,13.430771,6.5204773,44.73166,7.394928,24.687012,31.220428,45.486572,33.437042,54.6532,13.0686035,20.94986,0.322052,25.06372,40.520935,41.892944,43.70404,42.266785,93.83368,52.016907,103.05896,133.4043,154.62476,123.456665,121.003296,123.173706,164.4292,181.60059,-222.43652,137.14246,106.038086,52.271973,85.59802,45.141113,58.74829,45.922607,40.171387,96.40845,25.535889,25.203613,221.76782,123.322266,51.428223,37.059326,-21.745117,32.102783,100.298584,60.57788,81.12109,-82.78833,-181.4917,145.10352,https://public.flourish.studio/country-flags/svg/kr.svg
Spain,ESP,22.008667,43.344635,16.123077,36.694458,46.506744,36.926086,30.209198,73.98981,21.324951,31.668152,65.40045,-23.80664,-1.687439,47.849243,58.022522,17.065979,-11.335266,13.460449,-33.733154,-20.982483,7.102783,21.141602,-6.269348,79.7984,-12.185303,28.517334,76.38861,-54.60608,43.695557,57.818054,-5.175476,85.32733,54.211548,71.430176,48.62915,27.704346,62.690674,33.641724,75.99487,55.909912,-8.07666,37.968872,-71.76111,-145.526,-53.115967,5.720459,-23.721436,-120.38843,-27.016357,57.042725,-7.6361084,64.01941,-10.465698,-29.593994,-193.09113,89.96698,https://public.flourish.studio/country-flags/svg/es.svg
Sweden,SWE,28.7668,-1.059906,30.82727,20.299683,28.808105,-22.515778,5.6682434,9.112305,-32.288513,0.81140137,30.037567,-14.565033,67.1752,32.985413,-50.197906,-39.952057,-21.465485,-35.59607,-7.028534,24.324219,22.126617,-39.981323,-16.158356,-10.253967,2.69693,-31.927185,8.977631,-2.3267517,12.438095,-10.560959,18.246887,-18.7715,26.455734,-10.399689,-30.31247,6.8368073,5.579315,13.480652,-8.094986,-3.1921082,5.4371796,-7.036331,-12.020187,-13.972809,12.432526,-19.936295,-8.132614,-2.0584717,-6.876999,-2.195694,5.3250885,-2.1038818,-6.6246796,10.8124695,-19.096085,-0.53671265,https://public.flourish.studio/country-flags/svg/se.svg
Switzerland,CHE,3.5190506,6.444954,11.533531,9.819321,15.261719,7.2430725,3.4710388,12.62439,-18.108078,-4.825012,5.9767914,2.0277252,4.330261,-5.7313843,2.261856,-8.877762,-7.994522,13.04335,-2.1046143,3.1419067,13.201279,-8.592361,-0.14845276,-4.6467743,11.42717,4.125,2.0850372,-9.428696,4.7253113,-9.024033,6.4605865,6.461624,2.4072723,-0.8908081,-4.2435913,11.637283,-8.950943,-2.343338,0.17500305,3.637085,2.9310608,-15.498795,10.833893,0.8942108,-7.0051727,-8.2285,5.334015,8.2789,-19.509216,3.5810394,-5.5504303,3.109558,-6.417282,3.3948517,-21.414581,3.3439941,https://public.flourish.studio/country-flags/svg/ch.svg
Taiwan,TWN,4.7966156,6.9714355,8.602943,6.8159637,9.308517,26.87471,7.637741,25.064774,-11.012772,14.792847,41.658997,21.604431,33.078568,8.101166,15.745789,-32.52008,27.493103,17.81015,1.3659363,1.1749268,39.764618,19.951996,58.42456,37.277893,18.282959,34.03592,34.689728,43.85138,38.176514,45.33374,25.500793,50.590515,47.204712,41.97876,63.093628,39.456055,36.987976,50.262085,46.605408,12.78186,32.46521,48.5625,-42.02588,-33.361816,86.15161,-10.922241,-8.275879,24.66919,31.142822,13.527588,16.052856,23.123047,5.0928955,-42.74182,-35.549683,80.35083,https://public.flourish.studio/country-flags/svg/tw.svg
Thailand,THA,5.2277164,4.1858177,11.683891,4.0642624,8.608021,6.4716988,16.856018,5.0115433,2.1680984,7.569725,5.463257,12.738388,11.9351425,5.1553345,6.238571,-4.19339,1.0756531,14.946854,16.62236,9.328873,6.831024,33.006943,29.911713,35.654343,58.312347,38.066406,38.3403,60.152985,56.935028,58.80957,78.95953,36.403748,-51.88965,45.35266,18.623291,39.508545,61.995483,62.917297,80.0553,31.060242,14.013184,45.187378,14.834717,39.6886,75.95776,22.292114,81.8103,5.7696533,35.07544,30.767822,21.840576,14.043457,26.411499,-8.13623,-108.13208,8.572998,https://public.flourish.studio/country-flags/svg/th.svg
Trinidad and Tobago,TTO,2.1517296,2.3604507,1.1764526,1.2280006,4.138294,0.36785126,17.083977,-0.4882202,-2.2592735,-11.543613,5.971546,2.1639595,0.36619568,-6.5719566,-1.9037895,2.702858,8.836037,-1.4399147,-0.8209419,1.9026566,2.3204079,-3.4535484,5.75301,-1.0293999,6.8625717,-0.19193268,4.0416183,3.9774704,4.612976,6.925499,11.880363,-0.029266357,1.5158463,11.3980255,5.1396027,9.355804,10.9270935,16.894516,15.520996,12.393112,30.88504,6.719681,-3.2618408,-1.8069153,17.46045,-4.1966705,-3.5730133,4.1953583,-1.1847992,-6.8110046,-25.069763,12.052811,-11.191208,-5.022827,-24.777908,2.4217987,https://public.flourish.studio/country-flags/svg/tt.svg
Turkey,TUR,12.942192,3.3353653,15.518967,10.804749,9.912872,16.96312,17.24437,25.88321,1.8168945,16.434265,22.389938,24.122772,14.443909,-20.108612,8.132233,-0.9744568,23.257843,19.381683,11.767639,32.519104,35.013092,38.904602,17.210327,22.800842,28.935852,12.969421,18.097717,30.491577,-10.763855,60.409424,50.096558,37.250244,13.694763,0.7854004,66.173584,-58.457153,46.39618,46.684204,34.163757,41.621277,95.97577,92.19714,10.296631,6.2158203,17.42041,80.38818,64.12146,-23.700562,91.85425,59.23059,64.56665,109.24072,-47.243164,-24.09607,-33.930298,136.49207,https://public.flourish.studio/country-flags/svg/tr.svg
United Arab Emirates,ARE,0.05750805,4.4947143,1.5379572,0.024212837,2.6366653,5.032439,1.0121202,4.6429615,2.0023975,1.5636978,6.331028,19.441265,7.8693085,10.05957,40.59603,17.77195,10.037613,-5.450699,32.03151,39.086746,42.753677,28.68988,28.80542,38.28241,4.787781,75.884766,-14.141815,16.774689,41.203796,20.196838,14.816956,21.768494,12.656433,4.2561035,-2.5870361,5.7841187,50.127075,39.46216,43.910095,29.532654,36.694946,77.068054,120.03949,-12.843018,46.883057,48.433655,53.15912,58.974365,-12.152954,109.25244,53.333008,3.3530273,-18.547607,-14.926758,-86.279785,50.9021,https://public.flourish.studio/country-flags/svg/ae.svg
UK,GBR,-2.920166,-9.000732,78.38379,80.35547,57.361084,-48.112793,31.65625,128.92847,-150.5398,-134.93701,30.539307,36.34131,21.83496,113.083984,-228.23486,-69.993164,-47.402344,-7.6601562,-12.4904785,78.83862,69.64258,8.501465,7.366211,-20.163574,33.75,40.645508,-36.927734,-4.49292,-31.668945,7.6276855,110.46582,-60.61743,19.867432,-4.006836,47.237305,13.535889,-54.219482,41.893066,29.708984,18.157715,-19.414062,-51.50293,-29.38501,-180.85449,71.98755,-174.59058,11.93457,-42.923096,-147.56714,-34.506836,-25.271973,-43.397827,-29.089722,-59.08716,-247.63159,80.52783,https://public.flourish.studio/country-flags/svg/gb.svg
USA,USA,796.9209,444.13184,918.8721,775.3301,606.3262,277.90234,851.8906,735.40234,-675.3828,-692.41016,1041.1172,526.6133,204.73438,286.64062,-811.1797,-634.5176,-992.28125,-179.03516,898.6465,-101.36914,61.11133,671.37305,825.28516,363.05664,-181.58594,-135.42578,404.83398,412.98828,396.0547,276.43945,712.92773,292.5254,126.37695,297.57617,624.75977,-479.83203,197.23438,98.140625,459.00586,13.839844,-326.5957,390.61914,-781.3262,-1399.7598,777.8008,-423.9668,-557.5176,527.834,206.67383,-271.13672,-242.2832,-103.015625,896.0488,-265.03125,-2033.7051,1109.1582,https://public.flourish.studio/country-flags/svg/us.svg
Venezuela,VEN,1.7450867,9.796478,12.828888,1.1333313,-0.6005249,-0.06619263,11.166977,34.169174,5.12442,7.8057556,22.871765,32.483032,7.683716,31.967712,47.544006,15.576752,7.2455444,-8.358337,3.0013733,6.2473755,30.0484,-17.236816,12.571686,3.368103,28.64209,-18.26535,41.903687,-7.5694275,44.41678,20.577942,-25.622437,30.377075,43.437805,-7.272644,16.18457,40.268127,13.687683,-58.0932,42.85437,7.9104004,38.678223,50.340332,-27.533325,1.6437988,-8.5512085,6.93927,50.474487,10.408691,-36.5719,2.7826538,-92.26984,-11.07135,-118.914185,-96.16986,-75.53827,30.217285,https://public.flourish.studio/country-flags/svg/ve.svg
Vietnam,VNM,21.87904,19.34071,2.477394,13.146675,3.5758667,-9.8601,-1.9225693,4.34848,-21.186848,6.6239433,-28.95263,2.6313248,0.9887047,2.8203316,5.3899155,0.068424225,3.5401726,3.6270943,-0.57603073,0.8737488,5.3883934,8.48431,-1.2357788,-9.582081,0.91387177,-1.4170647,4.584793,10.000298,7.6939087,13.747971,14.403343,23.183487,15.353683,-1.4829559,23.802383,17.425964,23.09056,18.628616,66.16235,25.855804,-39.61017,23.903412,77.43335,-0.23373413,76.970764,22.772339,-3.7537842,23.853302,59.152863,114.83911,49.369263,6.638733,127.02313,153.20844,-65.35156,-21.35791,https://public.flourish.studio/country-flags/svg/vn.svg